target_id,obligation_unit_id,seed_id,guideline_id,fls_ref,evidence_path
ISO26262-6-2018:10_4_2:clause:10_4_2,ISO26262-6-2018:10_4_2:clause:10_4_2,SEED-D2DBBE48588A,RG-D2DBBE48588A,fls_exceptions_and_errors_core,tests/guidelines/RG-D2DBBE48588A/metadata.yaml
ISO26262-6-2018:10_4_2:clause:10_4_2,ISO26262-6-2018:10_4_2:clause:10_4_2,SEED-D2DBBE48588A,RG-D2DBBE48588A,fls_exceptions_and_errors_safety,tests/guidelines/RG-D2DBBE48588A/metadata.yaml
ISO26262-6-2018:5_3:clause:5_3,ISO26262-6-2018:5_3:clause:5_3,SEED-262BBEC1A2A9,RG-262BBEC1A2A9,fls_exceptions_and_errors_core,tests/guidelines/RG-262BBEC1A2A9/metadata.yaml
ISO26262-6-2018:5_3:clause:5_3,ISO26262-6-2018:5_3:clause:5_3,SEED-262BBEC1A2A9,RG-262BBEC1A2A9,fls_functions_core,tests/guidelines/RG-262BBEC1A2A9/metadata.yaml
ISO26262-6-2018:5_4_2:clause:5_4_2,ISO26262-6-2018:5_4_2:clause:5_4_2,SEED-9BA71FE474B2,RG-9BA71FE474B2,fls_exceptions_and_errors_core,tests/guidelines/RG-9BA71FE474B2/metadata.yaml
ISO26262-6-2018:5_4_2:clause:5_4_2,ISO26262-6-2018:5_4_2:clause:5_4_2,SEED-9BA71FE474B2,RG-9BA71FE474B2,fls_functions_core,tests/guidelines/RG-9BA71FE474B2/metadata.yaml
ISO26262-6-2018:5_4_3:clause:5_4_3,ISO26262-6-2018:5_4_3:clause:5_4_3,SEED-230964AF44D4,RG-230964AF44D4,fls_exceptions_and_errors_core,tests/guidelines/RG-230964AF44D4/metadata.yaml
ISO26262-6-2018:5_4_3:clause:5_4_3,ISO26262-6-2018:5_4_3:clause:5_4_3,SEED-230964AF44D4,RG-230964AF44D4,fls_functions_core,tests/guidelines/RG-230964AF44D4/metadata.yaml
ISO26262-6-2018:7_4_12:clause:7_4_12,ISO26262-6-2018:7_4_12:clause:7_4_12,SEED-34FDD6EFE8ED,RG-34FDD6EFE8ED,fls_exceptions_and_errors_core,tests/guidelines/RG-34FDD6EFE8ED/metadata.yaml
ISO26262-6-2018:7_4_12:clause:7_4_12,ISO26262-6-2018:7_4_12:clause:7_4_12,SEED-34FDD6EFE8ED,RG-34FDD6EFE8ED,fls_exceptions_and_errors_safety,tests/guidelines/RG-34FDD6EFE8ED/metadata.yaml
ISO26262-6-2018:9_4_2:clause:9_4_2,ISO26262-6-2018:9_4_2:clause:9_4_2,SEED-956D02940FC5,RG-956D02940FC5,fls_exceptions_and_errors_core,tests/guidelines/RG-956D02940FC5/metadata.yaml
ISO26262-6-2018:9_4_2:clause:9_4_2,ISO26262-6-2018:9_4_2:clause:9_4_2,SEED-956D02940FC5,RG-956D02940FC5,fls_exceptions_and_errors_safety,tests/guidelines/RG-956D02940FC5/metadata.yaml
ISO26262-6-2018:annex_b:clause:annex_b,ISO26262-6-2018:annex_b:clause:annex_b,SEED-C86203555EAD,RG-C86203555EAD,fls_program_structure_and_compilation_core,tests/guidelines/RG-C86203555EAD/metadata.yaml
ISO26262-6-2018:annex_b:clause:annex_b,ISO26262-6-2018:annex_b:clause:annex_b,SEED-C86203555EAD,RG-C86203555EAD,fls_statements_core,tests/guidelines/RG-C86203555EAD/metadata.yaml
